epoch,train_loss,val_loss,val_acc,Heff,M,H_raw,Hz,Mz,Psi
1,6.80921767439161,22.12636032104492,9.31,,0.07615758393201456,,,-1.1079864223542242,
2,2.668482402149512,2.090715169906616,23.8,,0.1216369268017548,,,1.9961548467826904,
3,2.4905040105994867,1.9382699728012085,28.85,,0.09764307399045294,,,0.35848147646857176,
4,2.0420199085255057,1.8131642818450928,34.59,,0.0951589089788613,,,0.18892759452455066,
5,1.8620736744939064,1.6765983343124389,39.56,,0.09702326728612702,,,0.31617726870338136,
6,1.6614859590725022,1.654430866241455,41.77,,0.10207990686621331,,,0.6613125018278844,
7,1.5601019798492899,1.4949827432632445,45.85,,0.10133222832093654,,,0.6102805457354386,
8,1.4732225111552648,1.4482113122940063,47.71,,0.09983014309947298,,,0.507757412561322,
9,1.3977103427964814,1.4215495824813842,49.06,,0.10611826717183792,,,0.936946231194593,
10,1.3452230631088724,1.3541006088256835,51.41,,0.07992274117995445,,,-0.8509998596504672,
11,1.2735579549049845,1.2885201454162598,54.7,,0.10533227778516645,,,0.883299411818628,
12,1.2210372564743976,1.2654706716537476,55.12,,0.09562364880938548,,,0.22064788765793408,
13,1.1566609813242543,1.202986717224121,56.74,,0.10773119068720723,,,1.0470345071479048,
14,1.1104891494828828,1.1692081451416017,58.8,,0.1151199670838601,,,1.5513471091783824,
15,1.0618164776539316,1.141188645362854,59.37,,0.09844789647697935,,,0.41341372784061753,
16,1.0136351816508236,1.1240548849105836,60.21,,0.1187757941961317,,,1.8008714667429777,
17,0.9696245071839313,1.1225290775299073,60.71,,0.114952319927611,,,1.5399045415525308,
18,0.9238531254992193,1.066184687614441,62.54,,0.09909290288926524,,,0.4574379132596802,
19,0.8700207435354894,1.037014937400818,63.62,,0.07936702272269928,,,-0.8889297963720154,
20,0.8290395572477457,1.0138639092445374,64.49,,0.09187713784120424,,,-0.03506599424477305,
21,0.7875268970217023,0.9918124675750732,65.36,,0.08265005237988275,,,-0.6648503087714105,
22,0.7432448724094702,1.0118360280990601,65.27,0.9998071581202451,0.09045808289508195,0.7029459669764515,1.0193745522734179,-0.13192198959298015,0.44372628134021885
23,0.6934186451289118,0.9645051002502442,67.0,0.9999158435893929,0.10070633384011976,0.7019460724133602,1.021949397477294,0.5675608236498965,0.7947551105635953
24,0.6605059668725851,0.972814965248108,66.84,0.9991616436373765,0.09970466138282086,0.6938565596695836,1.0040818007834555,0.499192799473186,0.7516373001283208
25,0.6194895998555787,0.9457825183868408,67.71,0.9999217021403916,0.09902403286900685,0.7018771099134209,1.0220881912098772,0.4527372676786156,0.7374127294442464
26,0.5905861389272067,0.9595566153526306,68.6,0.9871715473670195,0.08618422375263367,0.6758957441354737,0.7200268841711424,-0.4236294265396738,0.1481987288157343
27,0.5597727770099834,0.9409642934799194,69.31,0.9826954456295459,0.09521202277112777,0.6719728476692965,0.6139844740755945,0.19255281652933928,0.4032686453024669
28,0.5264267489618185,1.0053405284881591,67.62,0.9648128729015851,0.07876259010724844,0.6598509031952853,0.1903321037762108,-0.9301846630354845,-0.36992627962963687
29,0.49773924083125837,0.932104229927063,69.62,,0.08512933364183851,,,-0.49562976165230715,
30,0.47189174774958165,0.9037299513816833,69.69,0.9785720409939526,0.08558704900584958,0.6687791865470123,0.5162977388307719,-0.46438891556061646,0.025954411635077723
31,0.4387067601997025,0.9378340721130372,69.92,0.9303983545854809,0.07386580787564512,0.6430227231023755,-0.6249752056990341,-1.2644090130801238,-0.9446921093895789
32,0.4236275793946519,1.022279715538025,68.31,0.9943179761167675,0.10996598656268604,0.6839868722724773,0.8893314649528842,1.1995679798728673,1.0444497224128757
33,0.4085476742107041,0.9251396656036377,70.52,0.891172594087713,0.06975694614575693,0.6279946370813311,-1.5542646689367063,-1.5448547376688453,-1.549559703302776
34,0.38821970564978464,1.018651020526886,68.56,0.9595716237158168,0.09628800548154727,0.6569062142159845,0.06616274209322551,0.26599280324720487,0.16607777267021517
35,0.37925312774521963,0.96226886510849,70.11,,0.08349532960073447,,,-0.6071568651211293,
36,0.3555867167151704,0.9290950179100037,71.83,0.8979570254586512,0.06895277462539284,0.630404827431933,-1.393536093962851,-1.599742558079453,-1.496639326021152
37,0.21149004661307044,0.9518745422363282,73.76,0.9005150446092984,0.0770917817824616,0.6313306593888894,-1.3329345858393329,-1.0442238013898595,-1.1885791936145962
38,0.1490879667808815,1.0279278397560119,73.4,0.9073598745272734,0.07534142311520477,0.6338582886146165,-1.170775121249983,-1.1636925586756757,-1.1672338399628295
39,0.1414440184527514,1.0510787963867188,72.56,,0.0709772468067949,,,-1.461564491951523,
40,0.13219710564887038,1.1000346899032594,72.26,0.915111047284916,0.06325895539648409,0.6368181702837546,-0.9871436739560031,-1.988367769707581,-1.487755721831792
