epoch,train_loss,val_loss,val_acc,Heff,M,H_raw,Hz,Mz,Psi
1,2.1321449985309524,1.5113118648529054,45.11,0.8078742612999869,0.10207405478079164,0.6020168471633318,-0.6735236927685017,0.9729461855469953,0.14971124638924682
2,1.4056400656700134,1.381709337234497,50.56,0.926150754930005,0.11761861241015943,0.6412435408836044,2.9495465363318485,1.9406145090468057,2.4450805226893273
3,1.2176121150960728,1.2014435291290284,57.56,0.8568368219968525,0.10648085979157496,0.616616246748326,0.8263076816400372,1.2472753571098332,1.036791519374935
4,1.0159090428936237,1.0274863719940186,64.11,0.8716264722886361,0.11452005972846274,0.6213695752649054,1.279347334967797,1.74772569546561,1.5135365152167035
5,0.878692377586754,0.9301236987113952,67.34,0.8518034709026949,0.10738508792802065,0.6150413329777902,0.6721250208072193,1.3035646993811545,0.9878448600941869
6,0.7990019582972234,0.8973667025566101,68.96,0.8335926510062928,0.1062241416643603,0.6094987896230359,0.1142873863863612,1.2312943298141774,0.6727908581002693
7,0.7230887096755358,0.8494451522827149,70.43,0.8363144426053424,0.09034126862511097,0.610312891621043,0.19766187450045047,0.2425654452292633,0.22011365986485687
8,0.6634691229888371,0.8023861527442933,72.32,0.877438003745178,0.0943631827477377,0.6232946939819037,1.457367379014261,0.4929346734245788,0.9751510262194198
9,0.6039368303454652,0.7945466637611389,72.78,0.8447599334508211,0.08324734185906833,0.6128700639925376,0.4563659120762462,-0.19904044568125792,0.12866273319749416
10,0.5614114133070927,0.7773222327232361,73.87,0.822977026647854,0.07887448438804937,0.6063665942177874,-0.2108926337170646,-0.4712563400654226,-0.3410744868912436
11,0.525975590761827,0.8325709104537964,72.08,0.8453666052717169,0.09734177705440691,0.613055648835815,0.4749496098648981,0.6783559268203827,0.5766527683426403
12,0.49016310548295783,0.7766757845878601,74.48,0.8545674795081579,0.08988892435466621,0.6159036775578666,0.756792709069569,0.21440644371486478,0.48559957639221685
13,0.4596719209636961,0.7883762001991272,73.74,0.8494559417274954,0.09425697270085542,0.614313570885906,0.6002150173435105,0.4863229640111676,0.543268990677339
14,0.43087942867862933,0.797061288356781,74.33,0.8095894727734775,0.07130583599179133,0.6025050808560783,-0.6209829770650555,-0.9424142513674254,-0.7816986142162404
15,0.4116920591617117,0.7697935461997986,75.07,0.8048338929788019,0.06719532422700311,0.6011548103641235,-0.766656889500242,-1.198298794562408,-0.9824778420313249
16,0.38756491547944594,0.8156638026237488,74.05,0.7822572799189301,0.07742093543798208,0.5948775877647512,-1.4582284109473402,-0.5617415960098677,-1.009985003478604
17,0.36083976012103414,0.7968797326087952,74.65,0.7898795287509451,0.07036360963189588,0.5969739459259311,-1.2247420944823444,-1.001069030987194,-1.112905562734769
18,0.3486242542157368,0.7784669637680054,75.03,0.8168573124507905,0.08150252476361236,0.604589894983772,-0.3983529957678738,-0.30765751114112316,-0.3530052534544985
19,0.32931323243038996,0.814612627029419,74.81,0.8081046972691673,0.0864675233844521,0.602082359167416,-0.6664649300843175,0.0014199168668593994,-0.33252250660872906
20,0.3188524530554304,0.7862658977508545,75.49,0.7981392657407531,0.06289285839864561,0.5992714140727406,-0.9717281077675978,-1.4661327203845382,-1.218930414076068
21,0.30292653155570126,0.8161069512367248,74.5,0.8276911075162411,0.0790795360600178,0.6077493285985905,-0.06648992504993763,-0.4584916147914361,-0.2624907699206869
22,0.17789558480892861,0.7746781349182129,78.55,0.8143553401528115,0.07419520753714128,0.6038691971381094,-0.47499393319029387,-0.7625472274275134,-0.6187705803089036
23,0.1278094599897764,0.8335448980331421,78.61,0.8197398449876128,0.06813366390469863,0.6054242562426464,-0.31005465771227864,-1.1398859658130378,-0.7249703117626582
24,0.11543678131182583,0.9173359036445617,77.57,0.8064694813975044,0.06684992995584764,0.601618014698688,-0.7165552038229595,-1.219800023692532,-0.9681776137577457
25,0.11085621799741473,0.8892378330230712,77.66,0.7898613153843974,0.07309413110407575,0.5969689102332894,-1.2253000101263198,-0.8310906245079613,-1.0281953173171405
