epoch,train_loss,val_loss,val_acc,Heff,M,H_raw,Hz,Mz,Psi
1,1.763862809356378,1.487178921699524,46.97,0.649206439019199,0.05287673245862979,0.839428130680331,-0.5069144114907405,-0.5264023373335723,-0.5166583744121565
2,1.5617545782303324,1.6155166625976562,44.37,0.489022898315955,0.062052936935249374,0.8794173023155029,-1.8113932809678843,0.03096965239991606,-0.8902118142839841
3,1.3347728921442616,1.2294739882151287,55.69,0.7542062805060883,0.03716725737192994,0.8126677482991385,0.34816766446266395,-1.4806118265676422,-0.5662220810524892
4,1.1203827596440608,1.0961091915766399,60.35,,0.04728014888196361,,,-0.866344514056441,
5,1.0345590582915716,1.0610251029332478,62.29,0.5995151755760959,0.07288210516047451,0.8517350638451812,-0.9115827243184477,0.6887443408597743,-0.11141919172933668
6,1.0900025173109404,1.0752615133921306,64.51,0.6894402088593777,0.041509888890061526,0.8293614648874686,-0.17926462696542578,-1.2168359728246758,-0.6980502998950509
7,0.9311671305675896,0.9613159894943237,66.42,0.7395598481615455,0.05422586246922502,0.8165182523419108,0.22889222940358803,-0.444454808774178,-0.10778128968529498
8,0.8690245808387289,0.9142041802406311,67.91,0.8046668449522626,0.047104408588309464,0.7988924289279602,0.7591008962599989,-0.8770191581753612,-0.05895913095768118
9,0.7684226060400203,0.8383617599805196,70.6,0.8506262483888352,0.055747230777251196,0.785324144931982,1.1333782431932469,-0.35204535090708355,0.39066644614308166
10,0.6874788665041631,0.7846175233523051,72.55,0.7144284024472545,0.07196815046638413,0.8230132602264084,0.02423050354974903,0.6332298034854854,0.3287301535176172
11,0.6287445632778869,0.7645567059516907,73.51,0.9241090629051453,0.06306601821040804,0.7595955798582632,1.731796647390087,0.09250523909435521,0.9121509432422211
12,0.5971716675831347,0.999124805132548,70.72,,0.052074153315229285,,,-0.575151810518866,
13,0.6423493185821845,0.864462157090505,72.78,0.4644169131194119,0.07987002188702275,0.8857788133071434,-2.0117758396917087,1.1131975077319822,-0.44928916597986324
14,0.9289340492413969,0.9490058620770773,66.67,,0.06265774777928033,,,0.06770647800235868,
15,0.7717429247437692,0.8240856329600016,71.42,0.8823695492077828,0.07491547479378793,0.7750432837188288,1.3918846102268423,0.8122532797975722,1.1020689450122072
16,0.6520194240978786,0.7961053450902303,72.34,,0.10569634871859593,,,2.681914858167948,
17,0.5772115718953463,0.871196468671163,73.68,0.7802643786684079,0.05576318019211548,0.8056669822474252,0.5603757245559363,-0.35107656723180247,0.10464957866206692
18,0.43466880339749003,0.955038865407308,75.43,0.6545568723664971,0.05016412673329555,0.8380972705616805,-0.46334234900882554,-0.6911687671079201,-0.5772555580583728
19,0.37895052682380287,0.981935977935791,75.97,0.6925839828830255,0.04981491773474233,0.8285677245690504,-0.153662828139808,-0.7123800767351606,-0.4330214524374843
20,0.332388448776031,0.9552419185638428,75.24,0.7145085758094685,0.08846713434040616,0.8229927337765475,0.024883407440148424,1.6353948591874843,0.8301391333138164
21,0.30246387391674273,0.8945091366767883,75.21,0.6912196025079465,0.06710068778889591,0.82891236007577,-0.1647738658994062,0.337575171505822,0.0864006528032079
