epoch,train_loss,val_loss,val_acc,Heff,M,H_raw,Hz,Mz,Psi
1,6.553665900716976,4.604180335998535,1.52,0.5606542972651245,0.13700718669088346,0.538633071792548,1.0563738043675241,2.652087890900723,1.8542308476341236
2,4.853838516741383,4.4792249997456866,2.17,0.5416852437702806,0.11886099515830557,0.5339031668641903,0.8405114394665008,1.8629757610127113,1.351743600239606
3,4.548757300084951,4.277043342590332,3.49,0.6978105972005401,0.12117056475565484,0.5727548021766968,2.6171729909574357,1.9634105757129157,2.2902917833351757
4,4.300678287233625,4.181540648142497,3.78,0.43184528015402956,0.10057477590343049,0.5056139006497794,-0.4094357080435826,1.0677743327732012,0.3291693123648093
5,4.153992594504843,4.042362531026204,6.39,0.6385949249570919,0.09961831538162663,0.5579372583530872,1.9433156973845602,1.0261813297367555,1.4847485135606577
6,4.107019103303248,4.278443336486816,8.03,0.7279428534728974,0.13189332880203672,0.5804635079444291,2.960069388003433,2.429704737754362,2.6948870628788977
7,3.868783473968506,3.845623334248861,9.03,0.5452237905183335,0.09326422335736716,0.5347875535230299,0.8807790822118355,0.7498648871506616,0.8153219846812485
8,3.6974708887995504,3.6448102792104087,13.12,0.5940990402906251,0.1094403220740469,0.5469251302270801,1.436965346531393,1.4533048177102665,1.4451350821208298
9,3.536810495415512,3.4506348768870034,16.28,0.5997151305404976,0.10248649104206548,0.548314393061005,1.5008748359091622,1.150907898407571,1.3258913671583665
10,3.3734572541956998,3.2761758168538413,20.07,0.6283427117569419,0.09795607000863857,0.5553966480668986,1.8266484642273857,0.9538963004334876,1.3902723823304366
11,3.22933207725992,3.1769602298736572,21.99,0.509165150063126,0.08246196281777264,0.5257179628178047,0.47044214020824354,0.28011371061859713,0.3752779254134203
12,3.1003006258789374,3.068822701772054,23.33,0.6245611005829178,0.09814777729119042,0.5544603999767461,1.7836148183270848,0.9622329556362031,1.372923886981644
13,2.994629125205838,2.940545638402303,26.34,0.5516757163652181,0.09726286826203936,0.536397526284349,0.9542001399284533,0.9237514677991063,0.9389758038637799
14,2.9068635191236223,2.8759334882100425,28.29,0.5144169414446239,0.09883526504475847,0.5270478310341655,0.530206013397019,0.9921293074142631,0.761167660405641
15,2.82147593157632,2.7916783491770425,29.79,0.5432191439345752,0.0881481894995851,0.5342866610035235,0.857966781509618,0.5273871089983851,0.6926769452540016
16,2.737141030175345,2.7509849866231284,30.06,0.4222724107789603,0.06752971531912039,0.50303627427489,-0.5183722041503975,-0.3692356366822941,-0.4438039204163458
17,2.6717398288298626,2.688586393992106,31.44,0.4880845030360936,0.07331527580248069,0.5203419840997172,0.23055044913700187,-0.11764257113881668,0.056453938999092595
18,2.6071481291128666,2.671268622080485,32.05,0.5500716352722347,0.07475850777901821,0.5359975477380546,0.9359461591318612,-0.05488164100736795,0.44053225906224663
19,2.5340228372690627,2.6207752227783203,33.14,0.4117403426493165,0.05710017517022292,0.5001718077769375,-0.6382241057954415,-0.8227785537111117,-0.7305013297532766
20,2.469226727680284,2.583275636037191,34.15,0.4019403469823846,0.062201097158336986,0.49747760213143644,-0.7497452336819076,-0.6009579360235473,-0.6753515848527274
21,2.412640026637486,2.5284148852030435,35.64,0.5401991589816019,0.1021057706004545,0.5335314361447294,0.8236002226250898,1.1343517456725922,0.978975984148841
22,2.371644192812394,2.490490516026815,36.26,0.5290747491981874,0.09712983587780621,0.5307423563252419,0.6970076435789794,0.9179663713573634,0.8074870074681714
23,2.311036433492388,2.4846600691477456,36.33,0.5326882363769722,0.11813294622027108,0.5316496133821191,0.7381280868401058,1.8313155502669094,1.2847218185535076
24,2.2597032809744078,2.3972726662953696,38.8,0.37929077380011716,0.06726417900536097,0.4911331836578692,-1.007490852484238,-0.38078284898505865,-0.6941368507346484
25,2.2120233117317665,2.3573265075683594,39.29,0.46633297949235997,0.07558481419873686,0.5147205061829666,-0.016975623454173742,-0.0189485683494664,-0.01796209590182007
26,2.170930336932747,2.3540538946787515,40.0,0.5261634120260863,0.11849257627408369,0.5300104266849124,0.6638774651457313,1.8469545584426097,1.2554160117941704
27,2.1518092167620755,2.325615644454956,40.01,0.5629044362680167,0.10479644772180031,0.5391925273962735,1.081979738087536,1.2513595459184053,1.1666696420029705
28,2.0910535916990165,2.3247994581858316,39.31,0.4108301495971013,0.07029120421157532,0.4999227811443122,-0.6485818405564863,-0.24914848904720963,-0.44886516480184796
29,2.04162851645022,2.317282517751058,39.92,0.4376981995260622,0.06783081398030262,0.5071784395543295,-0.34283117147219294,-0.35614194672507216,-0.3494865590986326
30,2.007729176355868,2.3992714087168374,37.93,0.43649571529700304,0.06992570405410639,0.5068576887610121,-0.35651509563379913,-0.26504276676476324,-0.3107789311992812
31,1.968693578729824,2.240624030431112,41.51,0.4323231622073957,0.06275096942405234,0.5057419604292255,-0.40399754792603065,-0.5770459832600163,-0.4905217655930235
32,1.9325383293385408,2.247594118118286,41.06,0.4573680975092062,0.07213395033080999,0.5123780299961612,-0.1189933981664524,-0.1690141362062,-0.1440037671863262
33,1.8899655123146213,2.1660209496816,42.95,0.4268390930834402,0.06307093704092002,0.5042688896518116,-0.4664046749183971,-0.5631317507783214,-0.5147682128483593
