epoch,train_loss,val_loss,val_acc,Heff,M,H_raw,Hz,Mz,Psi
1,4.302083377935449,3.833207607269287,10.16,0.4111122905071876,0.09072149694567028,0.5,0.0,-0.5662456828533582,-0.2831228414266791
2,3.724105584378145,3.438401381174723,15.87,0.4111122905071876,0.091989662163082,0.5,0.0,-0.3439731657002016,-0.1719865828501008
3,3.4291388015357818,3.287993907928467,19.5,0.4111122905071876,0.0979405062247529,0.5,0.0,0.6990369016103459,0.34951845080517296
4,3.1826895694343413,3.0184571743011475,23.58,0.4111122905071876,0.09567620708356604,0.5,0.0,0.3021710494412346,0.1510855247206173
5,2.979254756655012,2.834645986557007,27.08,0.4111122905071876,0.09725386066165616,0.5,0.0,0.5786878843008711,0.2893439421504356
6,2.8310325680946815,2.639294703801473,30.88,0.4111122905071876,0.1055664015321346,0.5,0.0,2.0356347851082512,1.0178173925541256
7,2.669447040071293,2.573838472366333,33.27,0.4111122905071876,0.09697749212330907,0.5,0.0,0.5302485091808689,0.2651242545904344
8,2.5313653897266,2.4606690406799316,35.1,0.4111122905071876,0.10093514231766182,0.5,0.0,1.22390960209891,0.611954801049455
9,2.3919125625065396,2.254807154337565,40.01,0.4111122905071876,0.0971995654391314,0.5,0.0,0.5691715092936779,0.28458575464683894
10,2.2921152260838724,2.2754404544830322,39.41,0.4111122905071876,0.09303598492882192,0.5,0.0,-0.16058318488182902,-0.08029159244091451
11,2.1935567223295873,2.131410757700602,42.34,0.4111122905071876,0.09417518753841973,0.5,0.0,0.039085934020160355,0.019542967010080178
12,2.1040953616706695,2.0489449501037598,44.68,0.4111122905071876,0.09494839748463844,0.5,0.0,0.17460717263657308,0.08730358631828654
13,2.0187650481048895,2.015653967857361,46.07,0.4111122905071876,0.10172470512919311,0.5,0.0,1.3622970228860596,0.6811485114430298
14,1.9461602544297978,1.9533409277598064,47.57,0.4111122905071876,0.09732126456713772,0.5,0.0,0.590501830568785,0.2952509152843925
15,1.8615223072013076,1.980195164680481,46.97,0.4111122905071876,0.09600000738253145,0.5,0.0,0.358923834108265,0.1794619170541325
16,1.8152064985158491,1.9176414012908936,47.56,0.4111122905071876,0.09327473661850377,0.5,0.0,-0.1187369504073784,-0.0593684752036892
17,1.7336883593578727,1.8826329708099365,49.12,0.4111122905071876,0.09187262935860754,0.5,0.0,-0.3644856160362262,-0.1822428080181131
18,1.6706189403728562,1.8271278540293376,50.26,0.4111122905071876,0.09391841400746949,0.5,0.0,-0.005919005619407798,-0.002959502809703899
19,1.6250682351540546,1.804311196009318,51.05,0.4111122905071876,0.09821918810415374,0.5,0.0,0.7478817382049202,0.3739408691024601
20,1.5700234807267481,1.781014124552409,51.29,0.4111122905071876,0.09659222347493339,0.5,0.0,0.4627221087727,0.23136105438635
21,1.5027919314345535,1.713077187538147,53.37,0.4111122905071876,0.10495802696937283,0.5,0.0,1.9290044000603161,0.9645022000301581
22,1.4714218438888083,1.6525190273920696,54.39,0.4111122905071876,0.10427582622269456,0.5,0.0,1.8094344299286473,0.9047172149643237
23,1.4160417075059852,1.7520511945088704,52.22,0.4111122905071876,0.08861214903350528,0.5,0.0,-0.9359530865507816,-0.4679765432753908
24,1.3698437177405065,1.6766926844914753,54.55,0.4111122905071876,0.09625988879412944,0.5,0.0,0.4044734949285616,0.2022367474642808
25,1.3288931201915353,1.7175026734670003,53.73,0.4111122905071876,0.09595321887041282,0.5,0.0,0.3507231673341954,0.1753615836670977
26,1.2945091432454634,1.6598165035247803,55.09,0.4111122905071876,0.10531895124392054,0.5,0.0,1.9922639390414678,0.9961319695207339
27,1.2384713547570365,1.641988476117452,55.58,0.4111122905071876,0.08758547812688613,0.5,0.0,-1.1158986674332942,-0.5579493337166471
28,1.2089228836857542,1.7112489938735962,55.36,0.4111122905071876,0.09693598324844029,0.5,0.0,0.5229732094213387,0.26148660471066937
29,1.165970925773893,1.6842530568440754,55.57,0.4111122905071876,0.09510629928480606,0.5,0.0,0.20228277050378346,0.10114138525189173
30,1.1300185182873084,1.6681323448816936,55.36,0.4111122905071876,0.07749342767472489,0.5,0.0,-2.8847418957760316,-1.4423709478880158
31,1.1062219544332854,1.6009371280670166,57.28,0.4111122905071876,0.09768169824934929,0.5,0.0,0.6536753829671526,0.3268376914835763
32,1.05201377734846,1.5804938475290935,57.56,0.4111122905071876,0.08937932621294063,0.5,0.0,-0.801489216674597,-0.4007446083372985
33,1.040999129110453,1.6571483214696248,56.28,0.4111122905071876,0.09456234574809443,0.5,0.0,0.10694351962445361,0.05347175981222681
34,1.0001734227550274,1.5878915389378865,57.78,0.4111122905071876,0.09555864976167056,0.5,0.0,0.2815666664407108,0.1407833332203554
35,0.9528037723229856,1.593694766362508,57.73,0.4111122905071876,0.087243419757332,0.5,0.0,-1.175851561401854,-0.587925780700927
36,0.9257646756512778,1.5824987490971882,58.1,0.4111122905071876,0.08909011556588553,0.5,0.0,-0.8521794403345951,-0.42608972016729757
37,0.8951638073337321,1.6644230683644612,57.56,0.4111122905071876,0.09586789636422208,0.5,0.0,0.3357686109716276,0.1678843054858138
38,0.8790610006877354,1.5992618004480998,58.76,0.4111122905071876,0.09384680681545969,0.5,0.0,-0.018469665892815845,-0.009234832946407923
39,0.6974811529626652,1.4992405970891316,62.16,0.4111122905071876,0.09615166497445443,0.5,0.0,0.3855050036903379,0.19275250184516896
40,0.6159704014354822,1.534328579902649,61.62,0.4111122905071876,0.08865656724218668,0.5,0.0,-0.9281678651021139,-0.46408393255105695
41,0.5854593983718327,1.558401107788086,61.7,0.4111122905071876,0.09196109965299185,0.5,0.0,-0.3489793438596292,-0.1744896719298146
42,0.5511231975896018,1.581230878829956,62.13,0.4111122905071876,0.09370840997869805,0.5,0.0,-0.04272661037504105,-0.021363305187520526
43,0.534807132214916,1.6047517855962117,61.82,0.4111122905071876,0.08847532717708596,0.5,0.0,-0.9599339827387081,-0.47996699136935406
44,0.5171977512690485,1.6101628144582112,61.84,0.4111122905071876,0.08524825490762089,0.5,0.0,-1.5255459917426364,-0.7627729958713182
45,0.4977974456791975,1.6445377667744954,61.44,0.4111122905071876,0.08735370473432795,0.5,0.0,-1.1565218091704397,-0.5782609045852198
